Hugo_Symbol	Entrez_Gene_Id	GTEX-WYVS-1726-SM-3NMAY	GTEX-ZPIC-1126-SM-5BC7F	GTEX-ZC5H-2626-SM-5J2MG	GTEX-W5X1-2326-SM-3GIL6	GTEX-S341-1526-SM-4AD6K	GTEX-T6MO-0326-SM-32QOK	GTEX-Y5LM-1726-SM-4VDSX	GTEX-ZV6S-1826-SM-5NQ8D	GTEX-SE5C-2126-SM-4BRUJ	GTEX-S4UY-0726-SM-4AD6X	GTEX-12WSK-2226-SM-5GCO5	GTEX-ZYWO-2326-SM-5GZY4	GTEX-TMMY-0726-SM-33HBE	GTEX-14AS3-1626-SM-5S2OY	GTEX-YB5K-1626-SM-5IFIN	GTEX-145ME-1526-SM-5Q5F2	GTEX-WI4N-1426-SM-3LK7H	GTEX-XV7Q-2326-SM-4BRVZ	GTEX-TML8-1226-SM-32QON
PMEPA1	56937	656.11	1295.13	638.15	323.03	334.46	1832.01	320.8	2209.26	1397.83	392.44	718.08	547.75	297.17	878.17	4328.55	1745.2	551.56	1745.2	1322.37
MARVELD3	91862	260.38	81.71	271.48	64.8	293.07	164.42	173.85	44.57	145.02	198.47	85.82	172.65	165.57	215.77	92.05	30.56	111.99	27.64	134.3
C9orf152	401546	351.14	52.82	470.14	97.36	733.19	343.89	205.5	10.79	165.57	684.02	255	153.34	128.79	244.57	152.28	0	104.42	0	92.05
RGPD8	84220	93.35	71	55.1	107.38	74.06	100.83	21.32	121.79	42.41	105.15	33.3	26.28	80.01	4.54	46.84	56.68	95.34	61.68	89.51
ANKH	56172	647.07	470.14	1250.98	884.29	890.44	941.27	791.35	713.11	1594.73	470.14	2004.85	866.07	587.13	860.08	265.87	285.03	1233.75	974.5	1936.53
TIMM17B	10245	738.29	583.07	1051.79	389.72	769.69	551.56	1519.15	447.82	988.12	802.41	638.15	656.11	470.14	2915.45	713.11	426.57	961.07	791.35	575.03
MYLK3	91807	13.42	4.43	2.81	0.78	1.64	1.27	0	3.92	1.3	12.83	1.75	1.75	1.22	0	3.92	15	3.47	3.82	0
C8G	733	18.29	1.73	11.47	11.13	8.19	0	10.96	4.54	8.78	17.25	11.73	6.89	15.8	7.82	4.86	3.26	4.21	19.11	11.47
ZMAT2	153527	1896.65	2163.77	3103.19	2468.49	2075.59	1407.55	2032.85	2032.85	1709.26	3168.41	2119.22	2417.67	3018.3	2163.77	3540.14	2855.44	1143.1	2104.58	2163.77
TBX5	6910	127.89	62.56	25.17	86.43	55.49	95.34	12.36	34.51	38.4	32.13	130.6	13.62	69.52	8.58	131.51	511	57.08	15.34	48.87
NEUROG2	63973	165.57	3.76	30.12	22.75	20.26	5.36	5.96	0	10.39	12.83	0	3.5	22.1	17.25	8.06	0	5.41	0	7.22
PPFIA2	8499	15.11	36.79	10.96	102.25	13.62	9.34	20.56	23.08	7.28	10.96	96.68	27.84	14.89	6.16	10	74.06	38.4	29.48	80.01
RAD51D	5892	186.4	136.19	224.97	185.11	142.01	166.73	155.5	115.97	124.37	151.22	124.37	138.1	150.17	161.02	154.42	63	127.89	156.59	339.14
NPTX2	4885	0	14.78	0.64	1.45	8	47.17	17.9	42.71	16.51	14.14	18.84	17.13	23.42	1.77	30.78	0.57	30.56	18.16	1.39
MASP1	5648	112.77	52.45	63.45	81.14	19.97	7.06	11.73	53.19	20.86	14.89	97.36	23.76	27.44	19.68	38.67	70.01	97.36	15.34	94.01
SPTA1	6708	4.66	6.46	1.71	11.55	5.92	3.5	0	7.4	3.14	11.3	5.32	6.16	8.51	5.15	6.62	2.51	7.46	20.86	1.48
RHOG	391	698.41	1259.69	1119.56	688.78	921.88	1127.35	1572.76	2178.83	1883.54	1015.93	1594.73	1685.71	1268.46	1991	1119.56	872.1	1594.73	1709.26	1259.69
UBA6	55236	503.95	305.55	447.82	866.07	466.88	277.2	285.03	173.85	169.07	273.37	231.32	162.14	320.8	214.27	221.86	291.04	688.78	323.03	525.39
NFAM1	150372	20.41	71.5	49.21	34.02	27.44	100.13	25.35	80.57	27.25	18.16	30.12	32.82	72.52	29.91	12.64	18.43	46.84	36.79	84.63
KIAA0947	23379	450.94	466.88	379.04	579.04	371.22	497	279.14	363.56	297.17	532.74	490.14	291.04	603.67	152.28	293.07	277.2	173.85	283.05	616.37
CPSF4L	642843	0.85	0	6.41	6.84	2.78	0	2.48	0	0	17.38	0	0	0	18.56	5.82	0	2.29	0	0
HIST1H1E	3008	12.36	0.77	10.55	18.56	1.41	0	3.06	11.21	4.82	19.68	0.36	0.19	12	2.43	1.91	0.03	14.03	6.57	2.94
RP11-67H2.1	0	0	0	0	0	6.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLCN4	1183	38.67	183.82	11.04	56.28	191.67	63.89	4.7	63.89	47.84	157.68	273.37	76.71	92.7	37.85	256.78	25.72	13.62	42.41	96.01
UBAP2L	9898	2627.46	1295.13	2133.97	1709.26	2047	1519.15	1781.89	1467.37	1369.04	1870.53	1769.57	1233.75	2209.26	728.11	1388.16	1313.23	3018.3	1540.37	1427.22
C1orf189	388701	8.06	10.08	0	0	0	0	0	0	0	0	23.93	12.36	0	10.39	21.78	0	20.11	10	0
ZNF638	27332	3540.14	2319.15	2104.58	3665.02	2645.74	2351.53	3443.31	1950	1806.78	2133.97	2090.03	1896.65	3257.52	1437.15	1674.06	2104.58	1923.14	1662.49	3060.45
CCL28	56477	7485.11	791.35	6887.62	1259.69	2319.15	3955.48	3235.01	178.77	1617	2434.5	215.77	301.33	2555.58	3103.19	323.03	53.95	1051.79	120.1	1950
DCUN1D1	54165	518.15	890.44	426.57	624.99	323.03	629.35	293.07	423.61	525.39	723.08	417.77	269.6	432.53	454.09	713.11	825	293.07	220.32	417.77
RTN4	57142	6652.97	25354.3	5479.15	11424.74	6887.62	13968.57	11745.96	15499.21	14065.74	9025.81	9876.98	9409.14	7280.4	9945.68	21617.82	12676.65	9474.59	13306.94	10808.41
CDK9	1025	1183.45	830.75	928.3	1250.98	1551.09	1572.76	651.58	1208.34	743.43	1350.18	1159.07	1304.15	1350.18	723.08	974.5	1111.82	1175.27	1794.29	1268.46
TANGO2	128989	358.54	423.61	258.57	258.57	633.73	314.17	351.14	493.56	497	454.09	486.75	483.38	423.61	441.64	521.76	490.14	281.09	679.29	890.44
FAM227A	646851	35.76	13.83	31.67	20.26	38.67	16.15	13.22	8.51	27.44	23.25	5.02	8.85	24.63	18.7	10.24	5.87	18.84	5.96	22.1
AC012493.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMARCD1	6602	902.89	1104.13	1059.11	759.08	1199.98	1111.82	836.53	1088.92	995	1674.06	902.89	1073.91	1225.22	612.11	1199.98	1407.55	860.08	1030.12	1397.83
GALP	85569	0	0	0	0	0	0	0	0	0	0	0	3.41	0	0	0	0	0	0	0
SLC35F1	222553	6.26	8	6.16	21.78	2.86	10.31	4.86	11.91	8.32	19.39	32.13	9.06	16.51	2.03	17.64	33.3	4.54	10.16	11.04
NKPD1	284353	25.35	9.48	31	5.11	15.45	8.65	11.55	1.46	3.82	9.27	4.13	1.46	3.63	19.68	4.9	0.67	8.06	1.93	17.25
LUM	4060	53601.03	15607.02	23169.48	96616.71	25005.23	3280.18	3081.75	8363.13	2777.33	8078.22	32540.65	19082	17078.76	7485.11	6983.79	1745.2	5329.3	5831.91	11909.94
AURKB	9212	63	21.01	57.08	17.38	43.63	22.1	39.5	19.82	242.88	23.42	38.67	4.46	37.32	27.64	49.21	26.1	54.33	9.48	38.95
PWWP2A	114825	271.48	309.83	316.37	518.15	339.14	253.23	318.57	175.07	312	295.11	146.03	205.5	429.54	171.45	209.84	189.02	167.9	305.55	381.68
KIR3DX1	0	1.01	0	0.33	0	0.77	0.58	1.23	1.97	0	2.12	1.97	0.08	0	0.58	0	0	1.08	1.25	0.83
FAM96A	84191	848.22	884.29	890.44	1167.14	921.88	842.36	1216.75	961.07	941.27	1059.11	1001.93	1030.12	1111.82	1605.83	718.08	503.95	848.22	743.43	665.29
RPS6	6194	77396.54	72213.45	144427.91	138544.47	62431.08	98646.85	149521.18	60304.42	97288.74	114897.47	85876.94	116501.39	116501.39	431797.89	59063.35	34876.28	82951.62	42937.97	57051.4
BIRC5	332	50.63	5.77	53.57	3.41	63.89	15.22	13.52	15.56	115.97	12.93	34.02	18.7	30.12	16.51	22.59	5.5	61.25	17.38	82.87
SNPH	9751	31.9	18.43	123.5	32.13	57.49	23.08	11.64	42.41	35.5	16.75	47.17	36.01	74.58	49.56	55.1	29.91	11.64	123.5	98.04
XRCC5	7520	4358.66	3257.52	3665.02	7695.57	4181.07	3146.52	4903.87	3491.39	3847.29	4210.15	4298.64	3212.66	4639.29	2627.46	2303.12	3372.43	3768.09	2935.74	4095
ZNF558	148156	620.67	198.47	684.02	476.71	358.54	503.95	256.78	217.27	307.69	397.93	211.31	297.17	371.22	204.07	226.54	138.1	332.14	199.85	389.72
CADPS2	93664	647.07	214.27	595.34	587.13	420.68	579.04	612.11	182.55	607.87	647.07	414.87	262.2	1030.12	226.54	220.32	217.27	536.45	334.46	575.03
HIST1H2BA	255626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC84	338657	454.09	217.27	220.32	559.28	688.78	314.17	1183.45	387.02	320.8	470.14	202.66	148.09	723.08	73.54	170.25	497	435.55	293.07	426.57
EEPD1	80820	575.03	780.44	251.48	493.56	314.17	376.41	395.18	1216.75	529.06	395.18	332.14	507.46	287.01	389.72	1277.29	599.49	318.57	642.59	854.13
GALR3	8484	0.6	0	0.39	0	0.82	0	0	0	0.91	0	0	0	0.39	0.64	1.5	0	0	0	0
RP11-849F2.7	0	8.99	6.89	6.16	13.12	8.45	11.91	2.29	5.77	1.75	4.98	7.34	5.82	4.21	4.7	1.51	5.73	4.39	14.56	3.96
GJA10	84694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM24	221662	25.54	5.45	52.82	3874.05	63.89	4.82	13.32	64.8	13.52	9.7	460.44	93.35	52.45	131.51	1.3	68.55	40.93	18.03	281.09
DDX25	29118	22.59	5.96	22.1	12.64	6.57	4.54	72.01	10.24	4.98	5.77	11.21	14.14	9.48	24.81	2.23	0	11.91	42.71	19.68
SDHC	6391	1950	6426.31	2645.74	3060.45	2384.37	3280.18	2209.26	3716.2	3716.2	3039.3	3665.02	4268.94	2758.13	3060.45	6607.01	5672.41	2664.15	3820.7	3540.14
CABIN1	23523	579.04	329.84	629.35	638.15	884.29	363.56	507.46	457.25	486.75	583.07	414.87	486.75	480.04	343.89	287.01	307.69	638.15	503.95	669.92
PPP6R3	55291	1594.73	620.67	974.5	1540.37	1551.09	1191.69	981.29	728.11	647.07	1127.35	769.69	624.99	1498.22	325.29	603.67	928.3	1477.58	679.29	1250.98
FAM27E2	0	0.52	3.41	13.52	11.47	0	0	9.41	3.92	9.85	8.45	5.5	4.58	6.31	17.25	3.69	2.56	15.68	6.52	0
AMFR	267	1991	1397.83	1769.57	1135.2	2004.85	2271.4	2976.74	1844.76	1757.34	1467.37	2956.17	2434.5	2720.15	3060.45	1605.83	1183.45	915.51	1870.53	1540.37
SPATA32	124783	4.21	1.19	5.19	0	5.73	1.75	1.06	0	1.46	7.22	2.92	2.63	2.58	0	2.27	0	0	1.97	4.98
PSMB10	5699	995	785.88	1781.89	414.87	842.36	447.82	1304.15	1119.56	1487.87	791.35	507.46	1561.89	343.89	5633.22	633.73	836.53	1359.57	2609.3	669.92
ENPP2	5168	860.08	4481.23	638.15	1697.45	1037.29	1583.71	2240.11	3820.7	2351.53	769.69	1757.34	8191	3614.55	703.28	1340.84	3235.01	5751.61	4937.99	2133.97
P4HB	5034	10585.95	14765.09	8718.32	3419.52	11267.44	9344.14	9808.75	8718.32	14163.58	9606.86	6516.03	12329.98	5555.65	11345.82	12415.75	8022.41	12943.04	9740.98	4481.23
NPCDR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLCG1	5335	1081.39	540.19	860.08	1127.35	1277.29	1001.93	363.56	555.41	507.46	866.07	679.29	896.64	1369.04	332.14	728.11	1286.18	1008.9	878.17	995
NLE1	54475	332.14	260.38	432.53	346.29	265.87	389.72	265.87	265.87	460.44	332.14	361.04	426.57	318.57	579.04	275.28	204.07	171.45	547.75	320.8
TRIM33	51592	567.1	249.73	348.71	642.59	503.95	403.5	281.09	318.57	193.01	429.54	314.17	211.31	703.28	96.68	242.88	314.17	371.22	202.66	444.72
MUC6	4588	447.82	30.56	902.89	6.26	115.16	237.86	15.8	0.51	81.14	2032.85	0.52	92.05	4.98	66.18	866.07	0	6.94	0.47	1.23
UBE3C	9690	669.92	813.63	555.41	769.69	819.3	1037.29	775.05	1135.2	1066.48	753.83	878.17	718.08	1191.69	226.54	1143.1	1175.27	791.35	808	507.46
IQGAP1	8826	3325.99	3928.15	4181.07	6745.86	3955.48	3325.99	3639.7	3690.52	3303	3212.66	3847.29	2645.74	5441.3	2061.24	1991	2609.3	3168.41	3190.46	5329.3
OR6B3	150681	0.66	0	0	0	11.21	0.95	0.89	0	1.22	2.27	0	5.19	0.42	1.91	1.07	0	0	0	0
OR52A5	390054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAD2L2	10459	457.25	368.65	595.34	514.56	420.68	376.41	941.27	490.14	708.18	480.04	693.58	866.07	379.04	2758.13	348.71	312	1015.93	961.07	432.53
SIN3A	25942	1143.1	708.18	981.29	902.89	780.44	780.44	728.11	624.99	339.14	718.08	1015.93	532.74	1119.56	366.09	363.56	551.56	718.08	587.13	688.78
ASPHD1	253982	104.42	15.56	149.12	11.73	25.72	35.5	63.45	3.2	87.03	16.15	1	11.55	17	69.52	16.88	1.16	33.54	16.75	31.67
WSB1	26118	2468.49	1001.93	988.12	3081.75	2133.97	1199.98	708.18	1066.48	624.99	1167.14	1331.57	728.11	2367.9	339.14	981.29	1167.14	2090.03	1008.9	1561.89
LCE2B	26239	0	0	0	0	0	1.23	3.08	0	0.91	0.37	0.27	0.75	0.38	0.27	0.27	0.24	0.6	0	0.88
C1GALT1	56913	651.58	688.78	780.44	612.11	361.04	309.83	163.28	171.45	78.34	143.01	217.27	486.75	258.57	265.87	283.05	441.64	473.41	738.29	303.44
FHL2	2274	1674.06	1030.12	2468.49	1819.35	1023	1519.15	3639.7	1151.06	2682.69	511	1977.24	974.5	2287.2	6792.79	414.87	599.49	5672.41	775.05	3257.52
ATXN7L3	56970	575.03	603.67	713.11	514.56	909.17	759.08	503.95	571.05	819.3	743.43	511	753.83	802.41	486.75	633.73	587.13	536.45	802.41	656.11
RP11-685N3.1	0	0	0	995	0	0	0	0	0	0	0	0	0	0	309.83	0	0	0	0	954.43
AGAP1	116987	206.94	150.17	224.97	228.13	309.83	307.69	271.48	289.02	208.38	269.6	796.86	172.65	325.29	140.04	137.14	165.57	142.01	228.13	249.73
PLAA	9373	387.02	698.41	591.22	1199.98	426.57	371.22	376.41	384.34	327.56	381.68	738.29	463.65	713.11	371.22	346.29	466.88	417.77	432.53	708.18
MUM1	84939	1008.9	583.07	974.5	417.77	1104.13	819.3	346.29	791.35	921.88	1001.93	400.71	651.58	753.83	497	934.76	728.11	536.45	536.45	934.76
ACTBL2	345651	1.17	1.27	7.63	0	0	1.93	7.34	1.19	1.97	1.25	0	0	11.13	20.56	0	0	2.71	1.17	7.75
MXRA5	25878	1008.9	293.07	1508.65	884.29	660.68	457.25	218.79	76.71	392.44	253.23	142.01	256.78	242.88	346.29	389.72	193.01	532.74	169.07	591.22
CDCA5	113130	65.26	22.1	56.28	7.63	34.75	33.78	43.32	21.16	129.69	23.76	27.25	34.75	104.42	46.84	32.59	7.06	63	9.34	36.53
CIRH1A	84916	612.11	753.83	819.3	872.1	599.49	1008.9	1437.15	1023	909.17	748.61	896.64	941.27	836.53	854.13	713.11	633.73	808	1191.69	660.68
NPAT	4863	277.2	161.02	249.73	629.35	228.13	265.87	218.79	140.04	90.77	182.55	215.77	136.19	423.61	87.03	99.43	143.01	205.5	149.12	241.19
MAGEB2	4113	1.39	0	0	13.32	2.51	0	0	0	0	3	1.48	2.71	0.49	0	0	0	0	0	0
POMGNT1	55624	1467.37	890.44	1313.23	819.3	1437.15	1044.52	1340.84	490.14	1378.57	909.17	392.44	884.29	753.83	921.88	1167.14	723.08	848.22	1427.22	1127.35
IPO5	3843	1447.15	2739.08	1233.75	3794.3	1233.75	3039.3	1769.57	2855.44	1594.73	2682.69	2816.11	1487.87	3794.3	698.41	2485.67	2178.83	1037.29	1286.18	2047
C16orf47	388289	0	1.28	0	2.27	3.5	0	0.68	7.28	0	1.73	2.05	5.87	1.38	0	1.33	0	7.11	2.61	2.71
NHLRC3	387921	909.17	825	493.56	974.5	612.11	514.56	457.25	457.25	305.55	595.34	246.28	309.83	674.59	110.43	507.46	514.56	423.61	368.65	915.51
KIAA1715	80856	368.65	551.56	228.13	1059.11	318.57	555.41	314.17	366.09	373.81	363.56	470.14	420.68	551.56	156.59	583.07	860.08	403.5	473.41	454.09
CCDC178	374864	102.97	112.77	12.74	204.07	89.51	40.07	129.69	384.34	75.64	43.63	165.57	75.11	206.94	185.11	215.77	454.09	84.63	518.15	417.77
LRRK2	120892	226.54	161.02	96.68	432.53	114.36	153.34	127	154.42	9.48	76.17	432.53	97.36	180.02	25.17	52.45	83.45	73.54	59.13	172.65
SIGLEC1	6614	96.68	256.78	31.67	94.01	182.55	41.22	24.99	406.31	104.42	56.68	93.35	178.77	237.86	80.57	43.32	50.63	226.54	132.44	155.5
TSPAN15	23555	743.43	4066.71	1322.37	309.83	583.07	3060.45	1313.23	2303.12	981.29	1175.27	406.31	679.29	432.53	1008.9	2319.15	5555.65	1857.6	6250.56	1651
TOP2B	7155	3372.43	2133.97	2502.97	4181.07	3257.52	2193.99	2875.3	1923.14	1674.06	2351.53	2796.65	1674.06	3794.3	1359.57	1540.37	1769.57	1757.34	1540.37	2895.31
CD200R1	131450	62.56	43.94	39.22	185.11	36.01	8.99	17.38	69.03	2.97	29.7	18.16	13.83	57.08	30.56	5.68	14.67	23.42	14.14	106.63
CALB1	793	3.59	6.21	2.81	1.27	2.39	7.75	6.46	0.62	4.74	5.19	1.25	2.34	9.56	1.69	5.32	12	0	0.79	6.94
MRE11A	4361	532.74	351.14	332.14	348.71	400.71	218.79	215.77	307.69	283.05	237.86	279.14	187.71	529.06	185.11	159.9	139.07	277.2	164.42	486.75
SGK1	6446	836.53	2417.67	1896.65	728.11	1540.37	2976.74	1199.98	3372.43	2816.11	2976.74	6652.97	2335.28	2434.5	2976.74	3235.01	4512.4	2075.59	2018.8	819.3
PTPLAD2	401494	251.48	146.03	165.57	303.44	154.42	121.79	85.82	76.71	82.29	84.04	65.26	100.83	150.17	441.64	76.17	14.56	60.82	31.67	171.45
RPS24	6229	129266.49	107948.72	77396.54	233003.78	88905.42	132900.7	158046.64	77396.54	123144.13	120609.84	116501.39	146444.06	165904.25	539026.74	90146.51	48643.87	97965.44	53601.03	107948.72
ZSCAN21	7589	381.68	185.11	348.71	217.27	397.93	182.55	334.46	204.07	154.42	309.83	260.38	307.69	291.04	297.17	175.07	191.67	156.59	185.11	329.84
LRRN2	10446	297.17	28.04	426.57	64.34	126.12	183.82	32.13	8.85	59.55	111.21	23.93	29.27	94.67	223.41	39.5	12.74	108.14	26.67	138.1
RDH12	145226	9.34	21.01	5.15	33.06	4.43	9.7	24.11	17.9	14.14	6.01	14.67	10.08	3.92	8	8.19	2.81	0	2.71	5.82
ALDH3A1	218	54.72	186.4	54.33	62.12	30.12	18.43	96.01	16.15	11.64	100.83	127	62.12	202.66	55.89	15	34.26	214.27	265.87	22.26
LMAN1L	79748	4.54	0	0	2.36	0.27	0.84	0.75	0	2.1	1.99	0.65	2.68	0.79	0.48	3.11	0.88	3.11	1.43	0
PAK4	10298	902.89	275.28	1081.39	277.2	842.36	507.46	381.68	260.38	444.72	591.22	392.44	432.53	483.38	743.43	346.29	153.34	395.18	329.84	571.05
DKKL1	27120	15	0	41.52	10.39	8	1.38	4.21	3.03	0	19.11	10.79	8.58	10	56.68	4.13	3.76	13.72	17	24.81
RASAL3	64926	115.97	27.64	214.27	197.09	117.6	54.33	62.12	29.7	30.56	51.35	12.45	34.51	102.97	120.1	27.44	19.53	33.54	169.07	127
KEL	3792	25.35	0.71	4.21	5.5	12.74	3.66	2.86	3.59	3.44	7.51	8.92	9.93	17.25	9.27	5.92	2.53	2.48	5.59	4.28
